,Player,Progressive Carries,Touches,Expected Assists,Progressive Passes,Passes,Interceptions,Possession-Winning-Tackles,Aerials Won,Pos,Non-Penalty Expected Goals,cluster,Component 1,Component 2
876,Ismaila Sarr,6.086956521739131,36.66666666666667,0.1207729468599033,2.1739130434782608,15.942028985507246,0.7729468599033816,0.3381642512077294,0.6280193236714976,Winger,0.17,0,2.4659827910178755,0.5697828503786901
877,Téji Savanier,5.335820895522388,75.97014925373134,0.2238805970149253,5.858208955223881,40.11194029850746,1.8656716417910448,1.4552238805970148,0.708955223880597,Midfielder,0.17,2,-0.521494027567931,2.0230893861410073
878,Esteban Saveljich,1.1111111111111112,39.8941798941799,0.0158730158730158,1.3227513227513228,26.190476190476197,1.1640211640211642,0.634920634920635,3.121693121693122,Defender,0.04,5,0.7582151644919537,-2.4338124985161347
879,Stefan Savić,2.915129151291513,59.74169741697417,0.003690036900369,2.952029520295203,42.36162361623616,1.3653136531365313,0.5166051660516605,3.025830258302583,Defender,0.07,5,-0.2637910714555373,-1.3101988598729324
880,Joe Scally,4.245283018867925,63.0188679245283,0.0660377358490566,3.349056603773585,38.91509433962264,1.7452830188679247,1.0849056603773586,1.0849056603773586,Defender,0.06,6,-0.7076933988013712,0.18286459354722354
881,Gianluca Scamacca,2.4789915966386555,36.09243697478991,0.1050420168067226,1.3445378151260503,17.689075630252102,0.3781512605042016,0.7142857142857143,2.4789915966386555,Forward,0.42,0,3.2252168695339654,-0.9547404685828526
882,Fabian Schär,2.125,50.958333333333336,0.0249999999999999,1.8333333333333333,28.291666666666668,3.125,0.4583333333333333,2.125,Defender,0.06,5,-0.5503362732879632,-1.8379394822163446
883,Patrik Schick,1.8614718614718613,30.51948051948052,0.1038961038961038,0.9090909090909092,12.64069264069264,0.2164502164502164,0.0865800865800865,2.7705627705627704,Forward,0.71,0,5.1371694547274815,-1.216634819263115
884,Nico Schlotterbeck,4.207119741100324,70.2588996763754,0.0485436893203883,4.53074433656958,45.63106796116505,2.5889967637540456,1.715210355987055,4.174757281553398,Defender,0.13,1,-1.8832580243476194,-0.9463248249447568
885,Jeffrey Schlupp,3.155339805825242,47.18446601941747,0.087378640776699,2.378640776699029,24.563106796116504,1.2135922330097086,1.116504854368932,1.990291262135922,Winger,0.15,3,0.870123774774286,-0.7154064392705517
886,Benno Schmitz,4.349442379182157,71.37546468401487,0.1598513011152416,6.988847583643123,43.234200743494426,1.9702602230483277,1.5241635687732342,1.5613382899628254,Defender,0.02,6,-1.3598385927003949,0.817812529684046
887,Alessandro Schöpf,3.834586466165413,52.10526315789473,0.1015037593984962,3.308270676691729,30.82706766917293,1.5789473684210529,0.9022556390977444,1.2030075187969924,Midfielder,0.09,3,0.3132835452546403,-0.06223011138563488
